 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Bi pembelian konsumsi untuk IKR Lawang tgl 08/01/2026 ,IKR Lawang,,39000,"-9,070",,,,,,,,,,
,,Bi untuk pembelian rokok tukang  tgl 08/01/2026,tukang,,23500,"-32,570",,,,,,,,,,
,,Bi untuk pembayaran service mesin cuci tgl 08/01/2026,perawatan ,,150000,"-182,570",,,,,,,,,,
,,Bi untuk pembayaran print dokumen tgl 08/01/2026,print,,5000,"-187,570",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 2pcs garuda rosta @ 10.400 ,Rumah Tangga,,20800,"-208,370",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 2pcs pikopi gula aren@ 12.600,Rumah Tangga,,25200,"-233,570",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1pcs taro potato @ 15.400,Rumah Tangga,,15400,"-248,970",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1 pcs ktg plstk @ 100,Rumah Tangga,,100,"-249,070",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1 pcs pikopi 3ini @ 11.800,Rumah Tangga,,11800,"-260,870",,,,,,,,,,
,,diskon pembelian,diskon,19300,,"-241,570",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 08/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-371,570",,,,,,,,,,
9-Jan-26,9,Bi pembelian material tgl 09/01/2026- 1pcs tang potong tekiro @ 52.000,Material,,52000,"-423,570",,,,,,,,,,
,,Bi untuk pembelian pulsa NOC 081255900222 tgl 09/01/2026,pulsa,,51500,"-475,070",,,,,,,,,,
,,Bi BBM N 2113 EFD km 466478 tgl 09/01/2026 ltr 2.5 maintance bedali,Transportasi,,25000,"-500,070",,,,,,,,,,
,,Bi BBM N 2109 EFD km 424899 tgl 09/01/2026 ltr 2.5 maintance bedali,Transportasi,,25000,"-525,070",,,,,,,,,,
