,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 14/02/2026              ,Listrik Kantor,,"203,500","2,699,317"
,,Bi untuk pembayaran ongkos kirim kabel tgl 14/02/2026,lain-lain,,"28,500","2,670,817"
,,Bi untuk pembayaran print denah AP+ parkir 120 tgl 06/02/2026,lain-lain,,"5,000","2,665,817"
15 Feb,15,dana masuk operasional,dana masuk,630000,,"3,295,817"
,,Bi untuk pembayaran fee IKR Tim SMK Unsur 24 user + imigrasi tgl 15/02/2026,fee,,"750,000","2,545,817"
,,Bi untuk pembelian sumbangan acara megengan musolah tgl 15/02/2026,lain-lain,,"150,000","2,395,817"
,,Bi pembelian material tgl 15/02/2026- 1pcs slitter @ 67.075,Material,,"67,075","2,328,742"
,,Bi pembelian material tgl 15/02/2026- 20pcs kabel POE injector @ 6.999,Material,,"125,383","2,203,359"
,,Bi pembelian material tgl 15/02/2026- 1pcs  adaptor 9v @ 25.000,Material,,"25,000","2,178,359"
16-Feb-26,16,dana masuk operasional,dana masuk,444000,,"2,622,359"
,,Bi BBM mobil baru  tgl 15/02/2026 ltr 10.0,Transportasi,,"100,000","2,522,359"
,,"Bi BBM N 2109 EFD  km 692791 tgl 16/02/2026 ltr 2.0 maintance bedali, sentul, lawang",Transportasi,,"20,000","2,502,359"
,,Bi BBM N 2113 EFD  km 486062 tgl 16/02/2026 ltr 1.5  ,Transportasi,,"15,000","2,487,359"
,,Bi BBM N 1124 IC tgl 16/02/2026 ltr 10.0,Transportasi,,"100,000","2,387,359"
,,Bi untuk pembelian tiang 2 dim RW9 Lawang tgl 16/02/2026,lain-lain,,"166,500","2,220,859"
,,Bi untuk konsumsi tamu tgl  16/02/2026,konsumsi tamu,,"65,000","2,155,859"
18-Feb-26,17,dana masuk operasional ,dana masuk,333000,,"2,488,859"
,,dana masuk operasional ,dana masuk,57000,,"2,545,859"
,,Bi untuk operasional meeting sidoarjo + myrep tgl 17/02/2026,perjalanan bisnis,,333000,"2,212,859"
,,Bi BBM N 2110 EFD  km 409607 tgl 17/02/2026 ltr 1.7  ,Transportasi,,20000,"2,192,859"
,,Bi BBM N 2114 EFD  km 3800939 tgl 18/02/2026 ltr 1.5 maintance bedali,Transportasi,,15000,"2,177,859"
,,"Bi BBM N 2821 TEO km 387757 tgl 18/02/2026 ltr 3.0 maintance kertosari,lawang",Transportasi,,30000,"2,147,859"
,,Bi pembelian material tgl 18/02/2026- 1pcs kabel tis 20cm  @ 18.000,Material,,18000,"2,129,859"
,,Bi pembelian material tgl 18/02/2026- 1pcs kabel tis 10cm  @ 7.000,Material,,"7,000","2,122,859"
19-Feb-26,18,dana masuk operasional,dana masuk,1142000,,"3,264,859"
,,"Bi BBM N 3346 ABF km 680648 tgl 16/02/2026 ltr 2.0 maintance bedali, kaliayar",transportasi,,"20,000","3,244,859"
,,"Bi BBM N 6840 E km 987211 tgl 19/02/2026 ltr 2.0 maintance randuagung, karang kunci",transportasi,,"20,000","3,224,859"
,,Bi BBM N 4559 EGM km 402399 tgl 19/02/2026 ltr 2.0 maintance karangploso,transportasi,,"20,000","3,204,859"
,,"Bi BBM N 2114 EFD km 381861 tgl 19/02/2026 ltr 3.0 maintance jatisari,gajahan sentul",transportasi,,"30,000","3,174,859"
,,Bi pembelian material tgl 19/02/2026- 2pcs batu ABC  @ 3.500,Material,,"7,000","3,167,859"
,,Bi untuk pembelian konsumsi maintance jatisari tgl 19/02/2026,konsumsi,,"10,000","3,157,859"
20-Feb-26,19,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 20/02/2026              ,Listrik Kantor,,"200,000","2,957,859"
,,Bi pembelian material tgl 20/02/2026- 1pcs solasi hitam @ 8.000,Material,,"8,000","2,949,859"
,,Bi pembelian material tgl 20/02/2026- 10pcs klem no.7 @ 3.000,Material,,"30,000","2,919,859"
,,Bi pembelian material tgl 20/02/2026- 3pcs solasi nasional@ 7.000,Material,,"21,000","2,898,859"
,,Bi pembelian material tgl 20/02/2026- 1pcs solasi nasional@ 8.000,Material,,"8,000","2,890,859"
