,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
15-Apr-26,12,"Bi BBM N 2109 EFD km 481858 tgl 15/04/2026 ltr 2.0 maintance lawang, bedali,malang",transportasi,,"20,000","3,777,120",,,,,
15-Apr-26,12,Bi BBM N 2760 ABO km 53443 tgl 15/04/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","3,757,120",,,,,
15-Apr-26,12,Bi BBM N 2668 GM km 501469  tgl 15/04/2026 ltr 1.5 tarik bb yonkav,transportasi,,"15,000","3,742,120",,,,,
15-Apr-26,12,Bi BBM N 2113 EFD  km 505374  tgl 15/04/2026 ltr 1.0 maintance srigading,transportasi,,"10,000","3,732,120",,,,,
15-Apr-26,12,Bi BBM N 6840 GE km 356821 tgl 15/04/2026 ltr 1.5 maintance randutelu,transportasi,,"15,000","3,717,120",,,,,
15-Apr-26,12,Bi BBM N 2418 YBI km 549211 tgl 15/04/2026 ltr 1.5 maintance randugembolo,transportasi,,"15,000","3,702,120",,,,,
15-Apr-26,12,Bi BBM N 1124 IC tgl 15/04/2026 ltr 20.0,transportasi,,"200,000","3,502,120",,,,,
15-Apr-26,12,Bi untuk perawatan  kendaraan service L 1793 ACP tgl 15/04/2026,perawatan kendaraan ,,"150,000","3,352,120",,,,,
15-Apr-26,12,Bi untuk perawatan  laptor kantor service  tgl 15/04/2026,perawatan aset kantor,,407000,"2,945,120",,,,,
15-Apr-26,12,Bi pembelian material tgl 15/04/2026- 2pcs ODP 8 core @ 90.000,Material,,"180,000","2,765,120",,,,,
15-Apr-26,12,Bi pembelian material tgl 15/04/2026- 2pcs spliter box @ 50.000,Material,,"100,000","2,665,120",,,,,
15-Apr-26,12,"Bi untuk konsumsi mantaince tarik kabel ODP,ODC Randugembolo tgl 15/04/2026",konsumsi,,"20,000","2,645,120",,,,,
15-Apr-26,12,Bi untuk konsumsi CSR sekolahan lawang tgl 13/04/2026,konsumsi,,"20,000","2,625,120",,,,,
15-Apr-26,12,Bi untuk konsumsi CSR sekolahan lawang tgl 14/04/2026,konsumsi,,"20,000","2,605,120",,,,,
16-April,13,dana Masuk Operasional,dana masuk,2000000,,"4,605,120",,,,,
16-April,13,Bi untuk konsumsi kantor tgl 16/04/2026,konsumsi kantor,,"190,000","4,415,120",,,,,
16-April,13,Bi BBM N 2110 EFD km 437828 tgl 16/04/2026 ltr 1.5 pelurusan kabel odc randuagung,transportasi,,"15,000","4,400,120",,,,,
16-April,13,Bi BBM P 2616 UC km 83116 tgl 16/04/2026 ltr 1.5 maintance randugembolo,transportasi,,"15,000","4,385,120",,,,,
16-April,13,"Bi BBM N 3346 ABF km 707218 tgl 16/04/2026 ltr 2.0 maintance rest area,karangploso",transportasi,,"20,000","4,365,120",,,,,
16-April,13,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 16/04/2026,transportasi,,"2,000","4,363,120",,,,,
